DESHARNAIS

4

$TEAMEXP,$MANAGEREXP,$YEAREND,$LENGTH,$TRANSACTIONS,$ENTITIES,$POINTSNONADJUST,$ADJUSTMENT,$POINTSADJUST,$LANGUAGE,$EFFORT
56/45,104/45,3766/45,118/15,9781/45,73,13066/45,662/45,10451/45,107/45,1281

241/76,3,85,671/76,6789/76,7363/76,3538/19,1193/38,3375/19,1,407967/76

432/115,3,85,948/115,7647/115,1353/23,14412/115,4553/115,14772/115,1,88116/23

4,135/44,3781/44,12,4979/11,7723/44,27639/44,470/11,29819/44,3,61320/11

4,115/31,2644/31,12,9259/31,5302/31,14561/31,1245/31,15381/31,3,83720/31

3.49397590361,4,85.5060240964,35.4939759036,829.072289157,213.421686747,1042.4939759,31.2168674699,1010.24096386,1.50602409639,18477.9759036
2.68656716418,4,86.3134328358,34.6865671642,738.23880597,169.417910448,907.656716418,26.776119403,841.492537313,2.31343283582,9762.80597015
-23/38,-13/19,3303/38,149/19,9337/38,2712/19,14761/38,921/38,6585/19,1,11529/2

2.97887323944,2.18309859155,86.2042253521,6.40845070423,115.964788732,131.267605634,247.232394366,26.3873239437,224.718309859,1,4334.42957746
60/53,205/53,4597/53,8,6446/53,2665/53,9111/53,686/53,7115/53,99/53,141575/53

1.68636363636,3.31363636364,85.6272727273,8,111.645454545,43.0772727273,154.722727273,8.50909090909,114.290909091,1.31363636364,2453.94545455
-1/4,55/16,1373/16,549/16,517/2,1981/8,4049/8,767/16,2289/4,1,271453/16

2.52307692308,1.35769230769,85.1192307692,16.9807692308,164.215384615,312.792307692,477.007692308,40.3115384615,502.923076923,1,6139.02692308
41/58,41/58,5029/58,280/29,2075/29,5449/58,331/2,692/29,4297/29,1,76930/29

0.295620437956,0.295620437956,86.295620438,6.36496350365,86.3576642336,91.0693430657,177.427007299,32.0875912409,173.671532847,1,2750.64233577
2.06097560976,2.29268292683,85.2926829268,18.4146341463,263.951219512,111.926829268,375.87804878,30.4634146341,363.036585366,1.64634146341,7342.65853659
3.20072992701,1.53284671533,84.5328467153,19.9343065693,206.96350365,104.328467153,311.291970803,26.6642335766,288.952554745,1.26642335766,5417.23357664
0.490384615385,-0.264423076923,84.9807692308,17.3413461538,135.8125,119.951923077,255.764423077,25.9230769231,229.0625,2.24519230769,3134.31730769
40/21,13/7,1844/21,82/21,2659/21,1123/21,3782/21,782/21,3845/21,62/21,2423/3

148/91,74/91,86,109/7,16868/91,1621/13,28215/91,3100/91,27943/91,1,80117/13

4/89,2/89,86,471/89,17764/89,10605/89,28369/89,2680/89,26977/89,1,346521/89

1.91891891892,1.91891891892,86.3063063063,11.0810810811,91.4504504505,101.585585586,193.036036036,20.8828828829,171.27027027,2.30630630631,3016.55855856
2.74,2.74,86.58,10.26,124.02,92.28,216.3,28.82,209.04,2.58,2784.74
2.37931034483,3.31034482759,87.3793103448,13.5172413793,235.896551724,162.068965517,397.965517241,46.1034482759,448.517241379,1.68965517241,6787.82758621
1.08108108108,3.95945945946,86.0810810811,8.32432432432,97.6351351351,197.77027027,295.405405405,33.7702702703,292.72972973,1.04054054054,4147.87837838
1,1,86.56875,11.43125,108.36875,91.928125,200.296875,23.56875,176.846875,1.715625,2712.15
1,1,6724/77,822/77,6540/77,5536/77,12076/77,1873/77,976/7,103/77,186950/77

2.50251256281,2.49748743719,85,16.2462311558,187.08040201,148.386934673,335.467336683,34.4974874372,333.959798995,1,11602.3417085
247/69,98/69,85,673/46,5261/46,28579/138,22181/69,2306/69,21854/69,1,16597/3

2.43548387097,0.741935483871,86.7822580645,10.6532258065,190.25,102.161290323,292.411290323,24.9516129032,266.322580645,1.78225806452,5655.09677419
3.42028985507,4.68115942029,86.2898550725,12.1304347826,113.927536232,84.4347826087,198.362318841,18.0579710145,169.811594203,1.28985507246,3104.44927536
2,5/4,349/4,63/8,1473/8,185/2,2213/8,251/8,2141/8,1,15323/4

2,0.411042944785,86.4110429448,6.61656441718,108.199386503,188.141104294,296.340490798,35.1503067485,297.40797546,1,3636.95092025
2.67326732673,3,85,6.32673267327,95.801980198,56.5148514851,152.316831683,27.4257425743,139.168316832,1,3087.97029703
139/65,3,85,446/65,1454/13,4473/65,11743/65,1296/65,1983/13,1,195608/65

1.45394736842,2.18092105263,86,18.5394736842,382.082236842,157.973684211,540.055921053,35.6315789474,556.947368421,1.72697368421,10662.5888158
0.746987951807,1.12048192771,86,11.4698795181,264.373493976,126.86746988,391.240963855,29.9759036145,387.277108434,1.3734939759,6522.98795181
3.22480620155,4,85.7751937984,35.2248062016,798.790697674,198.751937984,997.542635659,29.7364341085,953.984496124,1.77519379845,15572.5581395
2.45283018868,4,86.5471698113,34.4528301887,711.943396226,156.679245283,868.622641509,25.4905660377,792.641509434,2.54716981132,7239.8490566
8/5,16/5,426/5,76/5,549/5,804/5,1353/5,169/5,267,1,5271

0.0843373493976,0.168674698795,85.9578313253,4.59036144578,192.403614458,125.939759036,318.343373494,33.0421686747,312.469879518,1,5615.81325301
2.53846153846,3.30769230769,86.7692307692,9.76923076923,111.153846154,52.6153846154,163.769230769,13.1538461538,128.769230769,2.23076923077,1052.30769231
1.52173913043,1.78260869565,86.2608695652,9.26086956522,133.52173913,42.9565217391,176.47826087,22.3043478261,154.695652174,2.73913043478,826.086956522
2.02272727273,2.97727272727,86.9772727273,26.8522727273,173.022727273,331.375,504.397727273,19.2045454545,424.420454545,1,14861.5568182
3.09259259259,1.90740740741,85.9074074074,19.8981481481,174.092592593,301.953703704,476.046296296,28.8333333333,444.212962963,1,8956.43518519
2.60666666667,2.60666666667,86.41,4.60666666667,102.89,115.38,218.27,15.7866666667,175.563333333,1.80333333333,3237.96666667
1.81944444444,1.81944444444,85.2291666667,3.81944444444,68.6458333333,94.125,162.770833333,17.3611111111,132.659722222,1.40972222222,2769.56944444
3.72891566265,4,85.5421686747,15.4578313253,86.9939759036,228.554216867,315.548192771,25.3734939759,283.873493976,1.27108433735,6504.34939759
85/26,4,1124/13,189/13,983/26,4262/13,9507/26,294/13,8301/26,45/26,68075/13

1.73101265823,2.48734177215,86.5126582278,4.0253164557,65.7151898734,47.1424050633,112.857594937,23.2943037975,99.6392405063,1.75632911392,2123.28164557
3.09756097561,3.39837398374,85.6016260163,2.20325203252,50.2276422764,54.8861788618,105.113821138,20.1056910569,89.6178861789,1.30081300813,1329.31707317
3,157/28,2369/28,247/28,1689/28,6299/28,1997/7,138/7,6589/28,43/28,11069/2

3,5.33783783784,84.3378378378,8.01351351351,63.2837837838,193.635135135,256.918918919,20.4324324324,213.148648649,1.44594594595,5012.94594595
3.35294117647,4.78431372549,86.431372549,21.2549019608,412.117647059,190.764705882,602.882352941,24.2745098039,544.705882353,2.21568627451,7319.94117647
1.73943661972,4.24647887324,87.5070422535,9.42253521127,237.85915493,100.408450704,338.267605634,19.9718309859,294.612676056,2.75352112676,2881.19014085
1,104/95,8229/95,891/95,8092/19,4596/95,45056/95,2633/95,8366/19,1,432537/95

1,1.7731092437,83.9075630252,12.0924369748,246.12605042,51.0924369748,297.218487395,25.6806722689,270.722689076,1,4073.41176471
1,107/40,3453/40,147/20,5849/40,607/8,2221/10,1127/40,8663/40,2,118377/40

1,200/97,8433/97,594/97,5441/97,3494/97,8935/97,1484/97,7388/97,2,165081/97

4,13/4,341/4,47/4,461/4,214,1317/4,173/4,1409/4,5/4,41909/4

4,3.91037735849,85.9103773585,13.7311320755,73.6462264151,303.811320755,377.45754717,22.7783018868,329.136792453,1.91037735849,4278.28773585
1.24166666667,2.51666666667,85.7583333333,11.275,128.858333333,77.6416666667,206.5,9.83333333333,152.583333333,2,3386.48333333
1.50568181818,1.98863636364,85.4943181818,10.4829545455,125.426136364,65.2329545455,190.659090909,15.1136363636,149.943181818,2,3101.875
1.64893617021,1.97340425532,85,5.97340425532,183.617021277,81.2659574468,264.882978723,34.0265957447,262.611702128,1,5680.46276596
2.10975609756,2.66463414634,85,6.66463414634,176.243902439,74.3536585366,250.597560976,33.3353658537,246.713414634,1,5165.95731707
1.6644295302,1.3322147651,86,5.3322147651,85.6409395973,81.0604026846,166.701342282,14.3322147651,132.359060403,1.3322147651,2306.05369128
2.57718120805,1.78859060403,86,5.78859060403,96.1375838926,56.4161073826,152.553691275,14.788590604,121.862416107,1.78859060403,2012.14765101
2.19303797468,3.61392405063,86.6139240506,13.6487341772,283.620253165,157.746835443,441.367088608,33.2626582278,438.471518987,2,9480.03797468
2.88429752066,2.23140495868,85.2314049587,8.80991735537,142.603305785,63.7355371901,206.338842975,27.041322314,193.074380165,2,2744.40495868
3.60606060606,4,82.9848484848,21.4393939394,374.121212121,172.318181818,546.439393939,37.6363636364,564.606060606,1.39393939394,7927.5
2.56140350877,4,85.5964912281,14.649122807,318.754385965,117.473684211,436.228070175,31.3684210526,425.666666667,2.43859649123,3704.47368421
1.84322033898,4,85.843220339,6.09745762712,297.690677966,119.457627119,417.148305085,36.5296610169,424.266949153,1,5677.32627119
41/29,4,2477/29,264/29,7973/29,2468/29,10441/29,1022/29,362,1,156884/29

59/29,77/29,86,164/29,1378/29,929/29,2307/29,803/29,2133/29,48/29,32473/29

2.54639175258,2.48453608247,86,5.48453608247,50.2474226804,32.5463917526,82.793814433,28.0309278351,76.793814433,1.48453608247,1046.89690722
4,1.63905325444,86.573964497,17.6568047337,286.74556213,87.1597633136,373.905325444,36.6568047337,380.597633136,1,9384.10059172
4,3.0981595092,85.6012269939,12.3067484663,247.349693252,108.073619632,355.423312883,31.3067484663,343.147239264,1,6660.43558282
1.75968992248,3.12015503876,84.2403100775,12.1589147287,129.554263566,72.7945736434,202.348837209,12.1589147287,157.069767442,2.12015503876,2067.25193798
0.325757575758,3.83712121212,85.6742424242,7.14015151515,103.026515152,47.7007575758,150.727272727,7.14015151515,109.75,2.83712121212,827.617424242
3.75706214689,3.27118644068,85.7570621469,12,282.531073446,225.028248588,507.559322034,33.0282485876,499.858757062,1.75706214689,13243.5254237
24/7,16/7,598/7,12,1642/7,1159/7,2801/7,222/7,2731/7,10/7,10905

60/29,73/29,2421/29,264/29,6387/29,73,8504/29,594/29,7297/29,57/29,50330/29

1.21875,2.3046875,83.6953125,7.828125,217.265625,73,290.265625,14.53125,231.640625,2.390625,1266.8359375
113/33,3,85,283/33,874/11,2654/33,5276/33,1153/33,1720/11,1,51737/11

161/44,3,85,367/44,3093/44,2867/44,1490/11,841/22,1503/11,1,179823/44

4,3.22647058824,85.7735294118,12,414.647058824,174.414705882,589.061764706,42.0941176471,632.908823529,3,4865.41176471
4,3.66091954023,85.3390804598,12,310.379310345,171.373563218,481.752873563,40.3563218391,509.959770115,3,2919.08045977
3.25833333333,4,85.7416666667,35.2583333333,802.5625,200.579166667,1003.14166667,29.9208333333,960.991666667,1.74166666667,15934.45
2.32608695652,4,86.6739130435,34.3260869565,697.684782609,149.77173913,847.456521739,24.7934782609,766.152173913,2.67391304348,5871.7826087
0.689189189189,0.351351351351,86.6621621622,7.32432432432,198.851351351,138.594594595,337.445945946,25.0135135135,302.567567568,1,5248.01351351
3.09836065574,2.27868852459,86.1803278689,6.3606557377,111.639344262,130.885245902,242.524590164,26.4590163934,220.655737705,1,4286.75409836
1.48181818182,3.51818181818,86.0363636364,8,115.327272727,45.7363636364,161.063636364,10.1454545455,121.654545455,1.51818181818,2534.12727273
1.55487804878,3.44512195122,85.8902439024,8,114.012195122,44.7865853659,158.798780488,9.56097560976,119.024390244,1.44512195122,2505.48780488
-3/5,37/10,859/10,73/2,1352/5,1197/5,2549/5,489/10,581,1,183323/10

1.98181818182,1.76363636364,85.2545454545,20.3636363636,182.618181818,300.072727273,482.690909091,41.8,516.454545455,1,8252.23636364
0.725190839695,0.725190839695,86.7251908397,9.80152671756,70.893129771,94.0763358779,164.969465649,23.4961832061,147.038167939,1,2648.40458015
0.19375,0.19375,86.19375,5.55,90.025,90.35625,180.38125,34.125,179.9875,1,2774.8875
1.97826086957,2.34782608696,85.347826087,18.3043478261,268.086956522,112.47826087,380.565217391,30.7391304348,368.413043478,1.67391304348,7482.39130435
3.20065789474,1.53289473684,84.5328947368,19.9342105263,206.967105263,104.328947368,311.296052632,26.6644736842,288.957236842,1.26644736842,5417.35526316
0.691729323308,0.0375939849624,85.3834586466,15.4285714286,134.503759398,110.488721805,244.992481203,27.5338345865,222.518796992,2.34586466165,2803.10526316
1.91262135922,1.86893203883,87.8252427184,3.83009708738,126.567961165,53.1067961165,179.674757282,37.3009708738,182.839805825,2.95631067961,794.737864078
1.54263565891,0.771317829457,86,15.0271317829,186.11627907,124.399224806,310.515503876,33.8565891473,306.856589147,1,6042.68217054
0.177419354839,0.0887096774194,86,6.15322580645,198.403225806,119.620967742,318.024193548,30.4435483871,303.443548387,1,4083.59677419
1.84593023256,1.84593023256,86.2819767442,11.1540697674,88.5552325581,102.412790698,190.968023256,20.1773255814,167.912790698,2.28197674419,3037.16569767
3.23489932886,3.23489932886,86.744966443,9.76510067114,143.651006711,86.6711409396,230.322147651,33.6040268456,231.805369128,2.74496644295,2645.01342282
16/7,47/14,611/7,92/7,3163/14,2305/14,2734/7,633/14,3061/7,23/14,13195/2

1.3821656051,3.80891719745,86.3821656051,9.52866242038,129.700636943,189.49044586,319.191082803,36.6305732484,328.859872611,1.19108280255,4760.13375796
1,1,86.1382978723,11.8617021277,121.712765957,103.335106383,225.04787234,23.1382978723,198.154255319,1.93085106383,2874
1,1,87.4948453608,10.5051546392,79.6597938144,67.3865979381,147.046391753,24.4948453608,131.005154639,1.25257731959,2363.93814433
73/32,87/32,85,1061/64,12929/64,8725/64,10827/32,1111/32,675/2,1,411173/32

95/27,40/27,85,265/18,237/2,11003/54,8701/27,904/27,8578/27,1,158683/27

2.66346153846,1.65384615385,86.6682692308,10.9951923077,172.581730769,98.0576923077,270.639423077,23.3557692308,243.980769231,1.66826923077,5064.63461538
3.7037037037,5.81481481481,86.1481481481,12.5555555556,91.962962963,79.3333333333,171.296296296,16.0740740741,142.037037037,1.14814814815,2370.40740741
2,1.93243243243,87.9324324324,8.89864864865,245.885135135,14.7027027027,260.587837838,28.3040540541,243.398648649,1,3988.39189189
2,5/27,2327/27,113/18,4739/54,1925/9,16289/54,217/6,16493/54,1,32263/9

31/12,3,85,77/12,197/2,703/12,1885/12,157/6,1697/12,1,12299/4

741/322,3,85,2157/322,17221/161,911/14,55395/322,511/23,47807/322,1,139531/46

1.44117647059,2.16176470588,86,18.4117647059,379.955882353,157.411764706,537.367647059,35.5294117647,553.882352941,1.72058823529,10587.8088235
0.980198019802,1.4702970297,86,13.801980198,303.202970297,137.128712871,440.331683168,31.8415841584,443.247524752,1.4900990099,7888.54950495
3.73469387755,4,85.2653061224,35.7346938776,856.153061224,226.540816327,1082.69387755,32.5408163265,1060.55102041,1.26530612245,21076.2857143
2.80434782609,4,86.1956521739,34.8043478261,751.489130435,175.836956522,927.326086957,27.4239130435,866.108695652,2.19565217391,11034.1304348
1.84466019417,3.68932038835,85.0776699029,16.9126213592,96.4660194175,166.427184466,262.893203883,33.9223300971,259.660194175,1,5215.33980583
